ticketNumber,subject,description,createdTime,status,botResponse,kbSourcesCount,ticketSourcesCount,error
13333,Dialer issue ,"<img src=""https://desk.zoho.com/portal/api/uploads/edbsn8d26b210d36c1fd8380a85453321bb9b59a4da073ebb28a2ee154c64b22ba617/content?portalId=edbsn4a656f7b20f42389e1766d473abb2acb952dceaaa34f60babb35",2026-02-04T17:17:57.000Z,Open,"I see you're experiencing a dialer issue. Based on the support tickets I have access to, this appears to be a common type of problem that users encounter. To help you troubleshoot your dialer issue, I'll need a bit more information about what specifically you're experiencing. However, here are some common solutions to try: ## Quick Troubleshooting Steps: 1. **Check Network Connectivity**: Ensure the required network ports are open on your firewall: - Ports 20708, 20808, 20718, 20818 (TCP/IP) must be open for proper Mojo Dialer communication - Reference: [Required Network Ports article](https://mojodialersupport.mojosells.com/portal/en/kb/articles/required-network-ports-for-mojo-dialer) 2. **Verify Your Setup**: - Confirm your account subscription is active - Check that your dialer settings are configured properly - Ensure you have contacts imported to call 3. **Connection Method**: Try connecting to the dialing server using: - Wait for incoming call - Use Mojo Voice (browser-based connection) - Check your selected calling method in settings ## What specific error or behavior are you seeing? - Is the dialer not starting at all? - Are you getting connection errors? - Are calls not connecting properly? - Is there a specific error message displayed? Please share more details about the exact issue you're encountering, and I can provide more targeted assistance based on the [Power Dialer usage guide](https://mojodialersupport.mojosells.com/portal/en/kb/articles/using-the-power-dialer) and configuration options.",3,2,
13332,Mojo Console Log,the dialer is calling our front desk even though it says its dialing this 509 number https://app281.mojosells.com/admin/maintenance/consolelog/173645/,2026-02-04T17:05:34.000Z,Closed,"I see you're referring to Mojo Console Logs. Based on the support tickets in our system, Console Logs are typically used for troubleshooting technical issues with your Mojo account. From the examples I can see, Console Logs help our support team diagnose: - **API connectivity issues** - Like timeout problems or latency issues affecting your dialing sessions - **Session management problems** - Such as sessions ending unexpectedly during live calls - **Technical performance issues** - General troubleshooting for account-specific problems If you're experiencing technical difficulties with Mojo, our support team can access your Console Log to investigate. The log contains diagnostic information that helps identify the root cause of issues. **To get help with Console Log analysis:** 1. Contact support@mojosells.com 2. Describe the specific issue you're experiencing 3. Include your account number if known 4. Our team will review your Console Log and provide assistance Are you experiencing a specific technical issue that you'd like help troubleshooting? I can provide more targeted guidance based on the problem you're encountering.",3,2,
13316,map mode question,"Hello, I was curious on the map mode setting, does the address have to be a residential address to populate on the map mode, or would business addresses also show up?",2026-02-03T21:59:51.000Z,Closed,"Based on the support tickets I can see, there have been questions about map mode functionality in Mojo. Here's what I can help clarify: **Regarding address types in map mode:** From the support tickets, one user asked whether map mode only shows residential addresses or if business addresses also appear. While I don't have the specific answer to this in my documentation, this appears to be a common question. **Map mode troubleshooting:** I can see there was a ticket where map mode wasn't working despite having correct property addresses (PIN: 754196). **Related mapping features:** Mojo does offer several map-based tools: - **Neighborhood Search** - A map-based prospecting tool that lets you draw areas (radius, street-based, or freeform) to find leads in specific locations - This tool is great for circle prospecting, finding leads near sold properties, or targeting specific neighborhoods Could you provide more details about your specific map mode question? For example: - Are you having trouble with map mode not displaying properly? - Are you wondering about what types of addresses show up? - Or is this related to the Neighborhood Search mapping feature? This will help me give you a more targeted answer or direct you to the right support resources.",3,2,
13331,List,What is a MOJO Training list,2026-02-04T17:00:02.000Z,Closed,"I'd be happy to help you with lists in Mojo! Here are the main ways you can work with lists: ## Creating and Managing Lists **Basic List Management:** - Navigate to the **Data & Dialer** section to access your calling lists and groups - Select any existing Calling List/Group as your starting point ## Creating Targeted Sublists/Sub-Groups **To create filtered sublists:** 1. Select your starting list in Data & Dialer 2. Click the **3-line FILTER icon** next to any column header you want to filter by 3. Enter your filter values for relevant columns like: - Listing Status - Status Change Date - City - Price Range - Any other criteria 4. Click the green **Save Sublist/Subgroup** button in the top-right 5. Give your new sublist a descriptive name ## List Filtering Options **Price Filtering:** - Use Optional Dialing Filters in the Call Wizard - Set price ranges (above, below, or within specific amounts) - Filter directly using column filters **Advanced Filtering:** - Filter by property vs. mailing address matching - Filter by listing status and historical data - Create smart lists for specific targeting ## Starting Dial Sessions Once your list/sublist is ready: 1. Click on your list in the left panel 2. Click the green **Power Dialer** button 3. Use the Call Wizard to begin your session Would you like me to explain any specific aspect of list management in more detail, such as creating sublists for a particular purpose or setting up specific filters?",3,2,
13330,Mojo Caller ID,"When I call, my number shows up as ‘REA’ or ‘Real Estate Agent.’ It’s hurting my pickup rate. Can you help me update my caller ID / CNAM so it shows just",2026-02-04T16:28:17.000Z,Open,"# Mojo Caller ID **Mojo Caller ID** is a virtual number service that provides you with an alternative caller ID for outbound calls while ensuring you still receive return calls on your phone. ## Key Details - **Cost**: $10 per month per number - **Billing**: Month-to-month subscription - **Purpose**: Use a personalized, professional caller ID instead of your personal number ## Key Benefits ### STIR/SHAKEN Certification Mojo Caller ID comes with the **highest STIR/SHAKEN attestation level A**, which means: - Your calls are verified as authentic and legitimate - Recipients recognize your calls as trustworthy - **Higher contact rates** due to reduced spam blocking - Calls are less likely to be flagged or ignored ### Professional Appearance - Projects professionalism and builds trust - Accurately identifies you to call recipients - Eliminates concerns about using personal phone numbers for business ## How It Works When you make calls through Mojo with Caller ID enabled, recipients see your chosen Mojo Caller ID number instead of your personal phone. However, if they call back, the call still comes to your actual phone. ## Getting Started You'll need to configure your Caller ID in your Mojo settings before using the Power Dialer. Check out the [Caller ID Configuration guide](https://mojodialersupport.mojosells.com/portal/en/kb/articles/caller-id-configuration) for setup instructions. **Need help with setup or have questions about Mojo Caller ID?** Let me know what specific aspect you'd like assistance with!",3,2,
13329,Triple dialer subscription,,2026-02-04T16:26:35.000Z,Open,"I can see you have an open support ticket regarding ""Triple dialer subscription"" (TICKET-1), but I don't have access to the specific details of your issue from the provided information. However, I can share some relevant information about triple line dialing in Mojo: According to our knowledge base, if you're subscribed to the **triple line dialer**, there's an important feature to note: - When you switch to Click to Call mode, the system will automatically reduce the number of lines to 1 - You can still switch between Power Dialer and Click to Call modes as needed **What you can do:** 1. **For immediate help** - Contact Mojo support directly since you already have an open ticket 2. **Access your dialer options** by: - Going to the Data & Dialer section of your account - Clicking the green Power Dialer button - Selecting your preferred dialing method If you need specific information about your triple dialer subscription (pricing, features, or technical issues), I'd recommend following up on your existing support ticket for personalized assistance. Is there a specific aspect of the triple dialer subscription you'd like help with that I might be able to address?",3,2,
13244,Cancel ,,2026-02-01T06:18:25.000Z,Open,"I can help you with canceling your Mojo account. Here's how to do it: ## How to Cancel Your Mojo Account **Important**: All account cancellations must be done within your Mojo account using a computer. Cancellation requests via email, phone, or the ticketing system will not be processed. ### Steps to Cancel: 1. **Log in** as the owner of the account 2. **Select Account** located towards the top right of the Mojo screen 3. **Select the Subscriptions tab** on the left side of the page 4. **Click the Cancel button** 5. **Follow the on-screen instructions** to complete the cancellation process ### Before You Cancel If you're temporarily not using the service (vacation or seasonal use), consider switching to our basic subscription for $10/month per user. This option preserves all your data until you need to resume Power Dialing. ### Note Your cancellation will take effect after your current billing period ends. If you're having trouble with the cancellation process or need help with removing payment methods, you may need to contact support directly, as I see from previous tickets that some users have experienced issues with payment method removal during cancellation. Is there a specific issue you're experiencing with the cancellation process?",3,2,
13328,Refund Request – Mojo Subscription Purchased Online,,2026-02-04T16:15:05.000Z,Open,"I see you're requesting a refund for your Mojo subscription that was purchased online. Based on our support ticket system, I can see that refund requests for online Mojo subscriptions are being handled by our support team. To help process your refund request, here's what you should do: 1. **Submit a Support Ticket**: If you haven't already, please submit a detailed refund request through our support system including: - Your account information - Reason for the refund request - Purchase date and details 2. **Manage Your Subscription**: While your refund is being processed, you can review your current subscriptions by: - Clicking the Account icon in the bottom left corner of Mojo - Selecting ""Subscriptions"" from the left navigation panel - Viewing your active services and billing information 3. **Billing Information**: On the Subscriptions page, you'll see your next bill date and total amount due, which can help provide context for your refund request. Since refund policies and processing can vary based on specific circumstances and timing, our support team will need to review your individual case. They'll be able to provide you with specific information about eligibility and processing timeframes. Is there any additional information about your subscription or the reason for your refund request that might help expedite the process?",3,2,
13309,Expired Data Area,"Selected Lynchburg Association of Realtors, but all of the records in his account are for the Roanoke Valle",2026-02-03T20:34:20.000Z,Open,"Based on the support ticket you're referencing, this appears to be an issue where a customer selected one MLS area but is receiving expired data from a different MLS area. ## Common MLS Area Issues with Expired Data **The Problem:** You selected one MLS (like Lynchburg Association of Realtors) but are receiving expired listings from a different MLS area (like Roanoke Valley Association). **Why This Happens:** - MLS territories can overlap geographically - The data delivery system may be pulling from the wrong MLS database - Your target cities/zip codes might fall under a different MLS than expected ## Steps to Resolve: 1. **Verify Your MLS Selection** - Check your Mojo Expired Data settings - Confirm you selected the correct MLS during setup - Make sure your target cities/zip codes align with your chosen MLS 2. **Contact Support for Data Team Review** - If you're getting data from the wrong MLS area, this requires backend review - The data team can investigate and correct MLS mapping issues - Provide specific examples of the incorrect listings you're receiving 3. **Check Your Target Area Settings** - Verify your selected cities/zip codes - Ensure your 50-mile radius covers your intended service area - Consider if overlapping MLS territories are causing the confusion For MLS-specific data routing issues like this, you'll need to contact Mojo support directly so the data team can review and correct the MLS assignment for your account. Would you like help with any other aspects of your expired data setup?",3,2,
13327,Request to speak with a manager.,"<span style=""color: rgb(44, 44, 44); font-family: ""Open Sans""; font-size: 14px; background-color:",2026-02-04T14:58:50.000Z,Open,"I understand you'd like to speak with a manager. Based on our support system, I can help you get connected with the appropriate person. For management requests, here are your options: **Immediate Contact:** - **Phone:** Call our support line directly - this is typically the fastest way to escalate to a manager - **Callback Request:** I can submit a callback request for you with your preferred phone number and time **What Information Helps:** When you speak with a manager, it's helpful to have: - Your account details ready - A brief description of your concern or request - Your preferred contact method and availability **Common Management Requests:** Our support tickets show that customers often request managers for: - Billing discussions or account adjustments - Technical issues that need escalation (like call quality problems) - Service-related concerns Would you like me to help facilitate getting you connected with a manager? If so, please let me know: 1. Your preferred callback number 2. Best time to reach you 3. Brief description of what you'd like to discuss This will help ensure you're connected with the right person who can address your specific needs.",3,2,
