ticketNumber,subject,description,createdTime,status,botResponse,kbSourcesCount,ticketSourcesCount,error
"13288","Contact Form Support",,"2026-02-03T08:37:22.000Z","Closed","To access and modify contact information in Mojo, you'll use the contact form. Here's how to work with it: ## Opening the Contact Form 1. Navigate to your Data & Dialer screen 2. Double-click on the contact you want to view or modify 3. This opens the complete contact form with all available fields ## Adding/Editing Phone Numbers and Emails When the contact form opens: - Look at the top middle section of the screen - This area allows you to: - Add new phone numbers - Add new email addresses - Edit existing contact information - Set primary contact methods ## Adding Notes to Contacts - Look to the right side of the contact form - You'll find a dedicated section where you can write detailed notes - Adding thorough notes helps track conversations and relationship history, making follow-ups more effective and personalized ## Benefits Keeping contact information current ensures you can reach your contacts through their preferred communication channels and maintains an accurate database for better relationship management. The contact form is your central hub for managing all aspects of individual contact records in Mojo.",5,2,
"13287","Contact Form Support",,"2026-02-03T01:23:58.000Z","Closed","To access contact form support in Mojo, you'll need to open the contact editing interface: **Steps to Edit Contact Information:** 1. **Navigate to your Data & Dialer screen** 2. **Double-click on the contact** you want to modify 3. **In the contact form that opens:** - **Top middle section:** Add or edit phone numbers and email addresses, set primary contact methods - **Right side:** Add detailed notes to track conversations and relationship history This contact form allows you to manage all aspects of a contact's information, including adding new phone numbers, updating email addresses, and maintaining comprehensive notes for better follow-up conversations. **For Technical Support:** If you're experiencing issues with the contact form itself, you can reach Mojo support at: - **Phone:** 877-859-6656 (Monday-Friday, 9 AM-5 PM EST) - **Email:** info@mojosells.com - **Support Portal:** Visit the Mojo Support page for additional help resources",5,2,
"13286","8016035885","Hi, I'm calling this number and they text me back to stop but when I look it up in Mojo I can't find it. Can you help me find it, remove it, and understand why it's not coming up in the search? 8016035885 <div","2026-02-03T00:34:11.000Z","Closed","I can help you locate and manage that phone number in your Mojo system. Here are several ways to find the number 8016035885: **Search Methods:** 1. **Lead Search**: Go to your Leads section and search for the phone number directly 2. **Global Search**: Use the search bar at the top of your dashboard to search for the number 3. **List Search**: If you know which list the contact might be in, search within specific lists 4. **Recent Activity**: Check your recent call history or activity logs **If the number still doesn't appear:** - The contact might be in a different format (with or without area code formatting) - Try searching for just the last 7 digits: 6035885 - Check if it's listed under a different phone field (mobile vs. home vs. work) **To remove the contact once found:** 1. Locate the contact record 2. Click on the contact to open their details 3. Look for delete or remove options in the contact management area 4. You can also add them to your Do Not Call list to prevent future calls **Why it might not show up in search:** - Different number formatting in the system - The contact might be archived or in an inactive list - Search filters might be applied that are excluding the result Try these search methods and let me know if you're still having trouble locating the contact.",0,1,
"13285","Re: Mojo Whitelisting Submission Rejected",,"2026-02-02T23:53:14.000Z","Closed","I understand your Mojo whitelisting submission was rejected. Here are the most common reasons and how to fix them: ## Common Rejection Reasons & Solutions: **Caller ID Registration Name Format Issues:** - Must follow specific formatting guidelines (examples are provided on the whitelisting page) - Cannot contain certain restricted words or phrases - Must properly identify you as a trusted caller to phone carriers **Incomplete Information:** - Make sure all required fields are filled out completely - Double-check that your phone number is entered correctly ## How to Resubmit Your Whitelisting Request: 1. **Navigate to Settings** from the bottom left of your Mojo dashboard 2. **Select Caller ID/Mojo Caller ID** from the left menu 3. **Find your number** and click the Submit button under the Whitelisted column 4. **Check the whitelisting box** 5. **Enter your Caller ID Registration Name** following the format guidelines on the page 6. **Agree to terms and click Save** ## Important Notes: - The registration name appears to approximately 10-15% of your contacts - Its primary purpose is identifying your number as trusted to phone carriers - Processing typically takes about 8 days once approved - Your number will be color-coded to show whitelisting status If you continue having issues with the format requirements, carefully review the examples provided on the whitelisting page and ensure your registration name follows those guidelines exactly.",5,2,
"13284","(No Subject)",,"2026-02-02T23:31:53.000Z","Closed","I'd be happy to help you! It looks like your message didn't include a specific question or issue. Could you please let me know what you need assistance with regarding Mojo Dialer? For example: - Questions about importing contacts or data - Setting up caller ID or voicemail - Managing your activities and calendar - Account settings or profile photos - Any other Mojo Dialer features or issues Just describe what you're trying to do or what problem you're experiencing, and I'll provide you with detailed help!",5,2,
"13282","URGENT: Dialer Not Connecting Calls – Account 613954","Hello Mojo Support Team, I am writing to request urgent assistance regarding Account ID 613954 . The account has already successfully subscr","2026-02-02T22:37:41.000Z","Closed","I understand you're experiencing an urgent issue with your Power Dialer not connecting calls. This is a common issue that can usually be resolved quickly. Here are the troubleshooting steps to get you back up and running: ## Immediate Solutions to Try: **1. Check Your Connection Method** - If using ""Call Me"" feature: Ensure you're waiting for the incoming call at your specified number - If calling in: Make sure you're dialing the correct server number and entering your PIN when prompted **2. Browser and System Reset** - Close your browser completely and reopen it - Clear your browser cache and cookies - Try using a different browser (Chrome is recommended) - Restart your computer if the issue persists **3. Verify Your Setup** - Confirm your dialer settings are properly configured - Check that your Call Settings show the correct Caller ID - Ensure your account subscription is active **4. Connection Troubleshooting** - Try disconnecting and reconnecting to the dialing server - If the server connection fails, wait 2-3 minutes and try again - Check your internet connection stability **5. Account-Specific Checks** - Verify your account has active dialing credits - Ensure no recent billing issues that might affect service ## If Still Not Working: Since this is marked urgent and affects your business operations, if these steps don't resolve the issue within 10-15 minutes, this may indicate a server-side problem that requires immediate technical support intervention. Try these steps in order, and the connection issue should resolve. Most dialer connection problems are resolved with a browser refresh or reconnecting to the server.",5,2,
"13277","Caller ID Routing Set Up","We are starting to dial with a caller ID and also Mojo Voice. The problem is that on my understanding the callbacks would route back to this same number since we are using Mojo Voice, but this is not happening. How can we fix this?","2026-02-02T21:00:41.000Z","Closed","## Caller ID Routing with Mojo Voice When using both Mojo Caller ID and Mojo Voice together, callbacks should automatically route back to your Mojo Voice number. If this isn't happening, here's how to resolve it: ### Current Setup Verification First, verify your current configuration: 1. **Check Caller ID Settings:** - Go to Settings → Caller ID/Mojo Caller ID - Ensure your Mojo Caller ID is properly configured and verified 2. **Verify Mojo Voice Setup:** - Confirm Mojo Voice is active on your account - Check that calls are routing through Mojo Voice correctly ### Troubleshooting Callback Routing If callbacks aren't routing properly to your Mojo Voice number: 1. **Contact Support for Routing Configuration:** - This type of routing setup between Mojo Caller ID and Mojo Voice may require backend configuration - Support can verify that your callback routing is properly mapped 2. **Check Call Flow Settings:** - Ensure there are no conflicting caller ID configurations - Verify that your primary caller ID isn't overriding the Mojo Voice routing ### Expected Behavior With proper setup: - Outbound calls display your Mojo Caller ID to recipients - Return calls automatically route to your Mojo Voice line - You receive callbacks through the Mojo system rather than your personal phone Since this involves the integration between two Mojo services, I recommend contacting Mojo support directly to verify your account's routing configuration and ensure the callback flow is properly established between your Mojo Caller ID and Mojo Voice services.",5,2,
"13279","Contact Form Support",,"2026-02-02T21:42:32.000Z","Closed","I can see there are some support tickets related to ""Contact Form Support,"" but the specific details aren't included in the available information. For contact form issues or general support, you can: **Get Direct Support:** - Call the sales/support team at **877-859-6656** - Hours: Monday to Friday, 9 AM - 5 PM EST - Email: info@mojosells.com **Access Self-Help Resources:** - Visit the Mojo Support page for help articles - Check the Frequently Asked Questions section If you're having trouble with a specific contact form in Mojo (like adding/editing contact information), I can help with that using the detailed steps from our knowledge base. Just let me know what specific issue you're experiencing with the contact form.",5,2,
"13275","Account Billing",,"2026-02-02T20:16:18.000Z","Closed","I can help you with account billing questions. Here are the main billing management options available in Mojo: ## Accessing Your Billing Information Click the **Account** icon in the bottom left corner of Mojo, then select **Subscriptions** from the left navigation panel. ## What You'll See Your Subscriptions page shows: - **Dialer Subscription** at the top with your next bill date and total amount due - **Mojo Data and Caller ID subscriptions** at the bottom with renewal dates, billing amounts, and status ## Managing Your Dialer Subscription **To add services:** Click the plus (+) icon next to your subscription - Costs are prorated based on your current billing cycle **To remove services:** Click the minus (-) icon next to your subscription - Changes take effect immediately with no prorated refund - **Best practice:** Wait until the day before your next bill date to remove services to maximize your paid time ## Managing Data & Caller ID Subscriptions - Click **Unsubscribe** to cancel these services - For Recurring Payment Plans for Mojo Data, click **Manage Discount** - Data and Caller ID services have separate billing cycles from your main dialer subscription ## Adding Agent Licenses To add more agents: 1. Log in with the owner account 2. Go to **Account** → **Subscriptions** 3. Click **Add** next to ""Mojo CRM (Users)"" 4. Enter agent information and assign features What specific billing question can I help you with?",5,2,
"13278","Neighborhood mapping","Hello When selecting a plot 4329 contacts searched and ONLY 33 matching filter ... it doesn't sounds right","2026-02-02T21:09:07.000Z","Closed","Neighborhood Search is Mojo's map-based prospecting tool that gives you access to the entire U.S. residential database. Here's how it works: ## Getting Started 1. **Purchase access** through the Lead Store 2. **Launch the tool** by clicking ""Neighborhood Search"" in the Data and Dialer section 3. **Allow location access** when prompted for the best experience ## How to Use Neighborhood Search **Search Setup:** - Enter your target address in the center search bar - Click the appropriate address suggestion to navigate to that location - Choose your search type from the left panel **Three Mapping Methods:** 1. **Freeform Plotting** - Click points on the map to create a custom polygon shape; drag points to adjust the area 2. **Radius Plotting** - Click on your selected location to create a circle; drag the points to resize the radius 3. **Street Search** - Enter a specific address and zip code to see results for that particular street ## Key Features **Property Information:** - View pins (house icons) showing available properties - Click on pins to see detailed property information in the lower panel - Access phone numbers, emails, and complete property data **Filtering Options:** - Property type and value - Absentee ownership - Length of ownership - Loan-to-value ratios - Apply filters before or after defining your search area **List Management:** - Check ""Don't want to see your past mappings?"" to hide previously imported areas - Review and import your targeted list directly into your database for immediate dialing This tool is perfect for just listed/just sold prospecting, geo farming, circle prospecting, and targeting specific neighborhoods or investment properties.",5,2,
