ticketNumber,subject,description,createdTime,status,botResponse,kbSourcesCount,ticketSourcesCount,error
"13333","Dialer issue","","2026-02-04T17:17:57.000Z","Open","I can help you troubleshoot your dialer issue. Here are the most common problems and solutions: ## Network Connection Issues Make sure these network ports are open on your firewall: - **20708** (TCP/IP) - **20718** (TCP/IP) - **20808** (TCP/IP) - **20818** (TCP/IP) Check with your network administrator or IT department to ensure these ports allow both inbound and outbound traffic. ## Caller ID Verification Problems If you can't start dialing, your Caller ID might not be verified: - Turn OFF ""Do Not Disturb"" on your phone - Turn OFF ""Ignore Unknown Callers"" - Make sure calls aren't going straight to voicemail - Check your signal strength ## Basic Troubleshooting Steps 1. **Refresh your browser** and try again 2. **Check your internet connection** 3. **Restart your computer** and network equipment 4. **Clear your browser cache** 5. **Try a different browser** (Chrome, Firefox, Safari, or Edge) ## For Mojo Voice Users If you're using Mojo Voice ($30/month add-on): - Allow microphone access when your browser prompts you - Check that your headset and microphone are properly connected - Test your audio connection in the dialer settings Can you tell me more specifically what's happening when you try to use the dialer? Are you getting an error message, or is it not connecting at all?",5,2,
"13332","Mojo Console Log","the dialer is calling our front desk even though it says its dialing this 509 number https://app281.mojosells.com/admin/maintenance/consolelog/173645/","2026-02-04T17:05:34.000Z","Closed","This issue where the dialer is calling your front desk instead of the displayed 509 number suggests a configuration problem with your phone system setup or call routing. Here are the steps to troubleshoot and resolve this: **Immediate Check:** 1. Verify your dialer connection method: - If using ""Call Me"" feature, confirm the correct phone number is set in your account settings - If calling in with a PIN, make sure you're dialing the correct Mojo server number **Phone System Configuration:** 1. Check if your office phone system has any call forwarding or routing rules that might be intercepting outbound calls 2. Verify that your phone line isn't configured to route certain number patterns to your front desk **Account Settings Verification:** 1. Go to your Mojo account settings and confirm: - Your registered phone number matches the line you're using - No incorrect forwarding numbers are set up - Your Call Settings are properly configured **Testing Steps:** 1. Try connecting to the dialer from a different phone line to isolate if it's a system-wide issue or specific to your current setup 2. Test with a mobile phone instead of your office line to see if the problem persists If the issue continues after these checks, the console log you mentioned will be helpful for technical support to trace the exact call routing path and identify where the misdirection is occurring. The routing issue appears to be on the connection side rather than the target number selection.",5,2,
"13316","map mode question","Hello, I was curious on the map mode setting, does the address have to be a residential address to populate on the map mode, or would business addresses also show up?","2026-02-03T21:59:51.000Z","Closed","Map mode will display any address that has valid location data, including both residential and business addresses. However, there are some important considerations: **What Shows on the Map:** - Residential addresses - these work best and most reliably - Business addresses - these will also appear if they have valid street addresses **What May Not Show Well:** - P.O. Boxes - these won't have specific map locations since they're not street addresses - Addresses with incomplete or improperly formatted location data **For Best Results:** Make sure your addresses are properly formatted with separate fields for: - Street address - City - State - Zip code Avoid importing all address elements into a single field, as this can affect how well the mapping feature works. So yes, business addresses should show up on the map as long as they're complete street addresses with proper formatting. The key is having accurate, complete address data rather than the property type itself.",5,2,
"13331","List","What is a MOJO Training list","2026-02-04T17:00:02.000Z","Closed","A MOJO Training list appears to be a practice or educational list used for learning how to use Mojo's features. Based on the available information, this would be a sample dataset that allows new users to: **Practice Key Features:** - Learn how to create sublists and apply filters - Test the Power Dialer functionality - Experiment with column management and data organization - Practice saving filtered results as sublists **Typical Use:** Training lists are commonly used during onboarding to help new users understand how to: - Navigate the Data & Dialer section - Use filter icons next to column headers - Apply criteria like status, city, price range, etc. - Save targeted sublists for focused calling campaigns **Access Training Resources:** If you need help with training lists or want comprehensive training, Mojo offers several resources: - Live training webinars (11:00 AM and 3:00 PM Eastern, Monday-Friday) - Getting Started videos accessible through the help menu - Training materials available on your home screen's right side For specific guidance on using training lists or to access sample data for practice, I'd recommend joining one of Mojo's live training webinars where instructors can provide hands-on demonstrations and answer questions in real-time.",5,2,
"13330","Mojo Caller ID","When I call, my number shows up as ‘REA’ or ‘Real Estate Agent.’ It’s hurting my pickup rate. Can you help me update my caller ID / CNAM so it shows just my name instead? Thank you,","2026-02-04T16:28:17.000Z","Open","I can help you update your caller ID display name (CNAM) to show your name instead of ""REA"" or ""Real Estate Agent."" Here's how to update your caller ID registration name: **For Existing Caller IDs:** 1. Navigate to Settings from the bottom left of your Mojo dashboard 2. Select Caller ID/Mojo Caller ID from the left menu 3. Find your number and click the ""Submit"" button under the Whitelisted column 4. Check the box to have your Caller ID Whitelisted 5. Enter your **Caller ID Registration Name** - this is where you'll put your actual name instead of ""REA"" or ""Real Estate Agent"" 6. Make sure to follow the specific format guidelines shown on the page 7. Check the box to agree to the terms and click Save **Important Notes:** - The Caller ID Registration Name will appear to approximately 10-15% of your contacts - Its primary purpose is to identify your number as trusted to phone carriers - Full whitelisting and CNAM updates can take varying amounts of time depending on the phone carrier, but typically complete after approximately 8 days - Your number will be color-coded in the system to show its current whitelisting status This whitelisting process with your personalized name should help improve your contact rates by displaying your actual name instead of the generic ""Real Estate Agent"" designation that's currently hurting your pickup rate.",5,2,
"13329","Triple dialer subscription",,"2026-02-04T16:26:35.000Z","Open","The triple dialer subscription allows you to dial with multiple lines simultaneously, increasing your calling efficiency. Here's what you need to know: ## Triple Dialer Features **Multiple Lines**: Instead of dialing one number at a time, the triple dialer can dial up to 3 lines simultaneously, allowing you to connect with more prospects faster. **Line Management**: When using Click-to-Call mode, the system automatically reduces the number of lines to 1. When switching back to Power Dialer mode, make sure to check and reset your line count if needed, as the system retains the single-line setting from your previous Click to Call session. ## Managing Your Triple Dialer Subscription To modify your dialer subscription: 1. Click the Account icon in the bottom left corner of Mojo 2. Select **Subscriptions** from the left navigation panel 3. Find your Dialer Subscription at the top of the page 4. Use the plus (+) or minus (-) icons to add or remove services **Important billing notes:** - Adding services: Costs are prorated based on your current billing cycle - Removing services: Changes take effect immediately with no prorated refund - Best practice: Wait until the day before your next bill date to remove services to maximize your paid time ## License Requirements Each agent who wants to use the dialer needs their own dialer license. If you have multiple agents dialing simultaneously, you'll need multiple licenses (one per agent). If you're getting licensing errors, it may be because another agent is using an available license or you have multiple browser sessions open.",5,2,
"13244","Cancel",,"2026-02-01T06:18:25.000Z","Open","To cancel your Mojo account, follow these steps: **Important:** All account cancellations must be done within your Mojo account using a computer. Cancellation requests via email, phone, or the ticketing system will not be processed. **How to Cancel Your Month-to-Month Subscription:** 1. Log in as the owner of the account 2. Select **Account** located towards the top right of the Mojo screen 3. Select the **Subscriptions** tab on the left side of the page 4. Click the **Cancel** button 5. Follow the on-screen instructions to complete the cancellation process **Important Notes:** - Your cancellation will take effect after your next billing date - You may continue using the platform until that date - If you're temporarily not using the service (vacation or seasonal use), consider switching to the basic subscription for $10/month per user instead - this preserves all your data until you need to resume Power Dialing The cancellation process must be completed by the account owner through the Mojo platform itself.",5,2,
"13328","Refund Request – Mojo Subscription Purchased Online",,"2026-02-04T16:15:05.000Z","Open","I understand you're requesting a refund for your Mojo subscription purchased online. Here's what you need to know about the cancellation process: **How to Cancel Your Subscription:** All account cancellations must be done within your Mojo account using a computer - cancellation requests via email, phone, or support tickets cannot be processed. To cancel your month-to-month subscription: 1. Log in as the owner of the account 2. Select ""Account"" in the top right of the Mojo screen 3. Select the ""Subscriptions"" tab on the left side 4. Click the ""Cancel"" button 5. Follow the on-screen instructions to complete cancellation **Important Details:** - Your cancellation takes effect after your next billing date - You can continue using the platform until that billing date - If you're temporarily not using the service, consider switching to the basic subscription for $10/month per user instead of canceling - this preserves all your data **Alternative to Full Cancellation:** If you just need a temporary break (vacation, seasonal use, etc.), you can downgrade to Mojo CRM (Users) at $10/month/user. This keeps your data accessible and maintains data posting from approved vendors. You'll need to process the cancellation directly through your account dashboard to complete your refund request.",5,2,
"13309","Expired Data Area","Selected Lynchburg Association of Realtors, but all of the records in his account are for the Roanoke Valley Association. He said they do overlap, but Lynchburg services the cities closer to him, whe","2026-02-03T20:34:20.000Z","Open","This is a data coverage issue that needs to be resolved by the Mojo data team. When you subscribe to Mojo Expired Data, you should receive listings that match your selected MLS area. Here's what's happening and what you can expect: **The Issue:** - You selected Lynchburg Association of Realtors as your MLS - You're receiving data from Roanoke Valley Association instead - While these areas may overlap geographically, you want leads closer to your Lynchburg market **Resolution Process:** The data team will review your account to ensure you're receiving the correct expired listings for your selected MLS area. They'll verify that: - Your MLS selection is properly configured - The data feed is pulling from the correct source - Geographic boundaries are accurately mapped **What You Can Do:** While the data team reviews your account, you can also refine your targeting by: - Specifying particular cities or zip codes within your 50-mile radius - Using the geographic targeting options when configuring your expired data service The data team will work to ensure you receive expired listings from the Lynchburg area that better serve your local market. You should expect to hear back from them with either a resolution or a request for additional information to properly configure your data coverage area.",5,2,
"13327","Request to speak with a manager.","He is getting random dead air calls. If he calls them directly, the call goes t","2026-02-04T14:58:50.000Z","Open","I understand the customer's frustration with the dead air calls and their request to speak with a manager. This is indeed a challenging situation that requires management attention. **The Technical Issue:** The customer is experiencing a common problem where calls connect through the Mojo system but result in dead air, while direct calls to the same numbers work fine. This typically indicates that carriers are treating the Mojo-routed calls differently, likely due to spam filtering or call blocking at the carrier level. **Why This Happens:** - Carriers increasingly use sophisticated spam detection that can flag calls from dialing platforms - The routing path through Mojo's system may trigger different carrier behaviors than direct calls - Canadian carriers may have additional filtering mechanisms **Whitelisting Limitation:** You're correct that whitelisting has limited effectiveness for Canadian customers, as our whitelisting service primarily works with US carriers. **Manager Escalation Needed:** This customer should be escalated to a manager because: 1. They're experiencing a technical issue that significantly impacts their service functionality 2. They're requesting pricing concessions due to service performance 3. Standard troubleshooting hasn't resolved the core connectivity issue **Suggested Next Steps for Management:** - Review the customer's call logs to identify patterns in the dead air calls - Consider technical solutions or alternative routing options - Evaluate if any service adjustments are appropriate given the technical limitations The customer's phone number (647) 205-2012 should be escalated to management for both the technical issue resolution and the pricing discussion.",5,2,
